dataset,group_type,group,n,events,event_rate,mean_predicted_risk,observed_expected_ratio,brier,auroc,auprc,model_probability_cutoff,sensitivity,specificity,ppv,npv,f1,accuracy,tn,fp,fn,tp,small_cell_flag
cfps_external_main,age_fixed_x_education,60-69 | 2.primary school,895,75,0.08379888268156424,0.057489250702118376,1.4576443710454623,0.07596536604322422,0.6227642276422765,0.16360285809991945,0.1475,0.05333333333333334,0.9926829268292683,0.4,0.919774011299435,0.09411764705882353,0.9139664804469274,814,6,71,4,
cfps_external_main,age_fixed_x_education,60-69 | 3.secondary school and above,1204,44,0.036544850498338874,0.025939258725745772,1.4088625617534172,0.03512278135608109,0.6497061128526647,0.0648427445108149,0.1475,0.0,0.9982758620689656,0.0,0.9633943427620633,0.0,0.9617940199335548,1158,2,44,0,
cfps_external_main,age_fixed_x_education,60-69 | missing,66,6,0.09090909090909091,0.03264328343600429,2.7849248402757696,0.0848231462000607,0.7444444444444445,0.21199419624025773,0.1475,0.0,1.0,0.0,0.9090909090909091,0.0,0.9090909090909091,60,0,6,0,unstable
cfps_external_main,age_fixed_x_education,70+ | 1.illiterate,434,130,0.2995391705069124,0.37914903650665716,0.7900301508524421,0.2113498401975653,0.6151062753036438,0.39011882479720195,0.1475,0.9923076923076923,0.029605263157894735,0.30424528301886794,0.9,0.4657039711191336,0.31797235023041476,9,295,1,129,
cfps_external_main,age_fixed_x_education,70+ | 2.primary school,401,46,0.11471321695760599,0.10490852306716802,1.0934594597634404,0.1007645443861998,0.6023270055113289,0.17269421249358982,0.1475,0.21739130434782608,0.8704225352112676,0.17857142857142858,0.8956521739130435,0.19607843137254902,0.7955112219451371,309,46,36,10,
cfps_external_main,age_fixed_x_education,70+ | 3.secondary school and above,463,36,0.07775377969762419,0.060429159739628535,1.286693047406953,0.06984834913142295,0.6806206088992974,0.19634992517572,0.1475,0.16666666666666666,0.9484777517564403,0.21428571428571427,0.9310344827586207,0.1875,0.8876889848812095,405,22,30,6,
cfps_external_main,age_fixed_x_education,70+ | missing,35,10,0.2857142857142857,0.05776431920878708,4.9462070985651465,0.25114530131977303,0.6759999999999999,0.4343291695197321,0.1475,0.0,1.0,0.0,0.7142857142857143,0.0,0.7142857142857143,25,0,10,0,unstable
cfps_external_main,age_tertile_diagnostic,high_age> 60,4090,562,0.1374083129584352,0.1253044571047267,1.096595573161395,0.10695396202409278,0.7601259068277371,0.3126619521178272,0.1475,0.6459074733096085,0.7471655328798186,0.2892430278884462,0.9298059964726632,0.3995597138139791,0.7332518337408312,2636,892,199,363,
cfps_external_main,age_tertile_diagnostic,low_age<= 50,4421,232,0.05247681520018095,0.0733363310047249,0.7155636842099448,0.044839049690062076,0.825880693277138,0.23685020038443114,0.1475,0.6508620689655172,0.8582000477440916,0.20268456375838925,0.9779651795429815,0.3091095189355169,0.8473196109477493,3595,594,81,151,
cfps_external_main,age_tertile_diagnostic,mid_age 50-60,4238,324,0.07645115620575743,0.07093595307264973,1.0777490524087165,0.06478308710229168,0.7751767160619997,0.21832165105923096,0.1475,0.5246913580246914,0.8648441492079714,0.24320457796852646,0.9564848827352359,0.33235581622678395,0.838839075035394,3385,529,154,170,
charls_heldout,overall,overall,2731,343,0.12559502013914317,0.12833262615724045,0.9786678875039695,0.09208440679583284,0.8151959994335135,0.38515969098032815,0.1475,0.7521865889212828,0.7458123953098827,0.29826589595375724,0.9544480171489818,0.4271523178807947,0.7466129622848773,1781,607,85,258,
charls_heldout,age_fixed,45-59,1427,138,0.09670637701471618,0.10037502965327012,0.9634505449091599,0.07542362120327889,0.8209936924478025,0.31161985940227727,0.1475,0.6884057971014492,0.8013964313421257,0.2706552706552707,0.9600371747211895,0.3885480572597137,0.7904695164681149,1033,256,43,95,
charls_heldout,age_fixed,60-69,910,116,0.12747252747252746,0.1341441186985354,0.9502654958656733,0.09654884821009273,0.7992052462433772,0.33561754698748464,0.1475,0.7844827586206896,0.698992443324937,0.27575757575757576,0.9568965517241379,0.4080717488789238,0.7098901098901099,555,239,25,91,
charls_heldout,age_fixed,70+,394,89,0.22588832487309646,0.21616773275263973,1.044967821962494,0.14211562342933023,0.7791858537483883,0.522996419450258,0.1475,0.8089887640449438,0.6327868852459017,0.391304347826087,0.919047619047619,0.5274725274725275,0.6725888324873096,193,112,17,72,
charls_heldout,education,1.illiterate,942,263,0.2791932059447983,0.2899547864786589,0.9628853151053167,0.18755423023818665,0.6588670433482475,0.4360998792329748,0.1475,0.9657794676806084,0.13696612665684832,0.30238095238095236,0.9117647058823529,0.4605621033544878,0.36836518046709127,93,586,9,254,
charls_heldout,education,2.primary school,733,57,0.07776261937244201,0.06597019626177489,1.1787537976069358,0.07147794826291623,0.6341222879684419,0.11598328926794656,0.1475,0.07017543859649122,0.9718934911242604,0.17391304347826086,0.9253521126760563,0.1,0.9017735334242838,657,19,53,4,
